ID,Datetime,Latitude,Longitude,"Speed (kmh)","Distance (m)",Voltage
311079,"2019-12-19 01:47:40",3.2349598000,101.4067166000,9.26,13,13621
311080,"2019-12-19 01:47:40",3.2349686000,101.4066881000,14.816,3,13658
311081,"2019-12-19 01:47:40",3.2354005000,101.4060536000,9.26,86,13633
311082,"2019-12-19 01:47:40",3.2353675000,101.4059900000,20.372,8,13629
311083,"2019-12-19 01:47:40",3.2336573000,101.4047281000,29.632,236,13573
311084,"2019-12-19 01:47:40",3.2332640000,101.4044624000,14.816,53,13649
311085,"2019-12-19 01:47:40",3.2331165000,101.4045278000,27.78,11,13518
311086,"2019-12-19 01:47:40",3.2309196000,101.4063916000,66.672,327,13982
311087,"2019-12-19 01:47:40",3.2299316000,101.4072710000,24.076,148,13657
311088,"2019-12-19 01:47:40",3.2299465000,101.4073894000,27.78,13,13591
311089,"2019-12-19 01:47:40",3.2330708000,101.4096971000,16.668,432,13251
311090,"2019-12-19 01:47:40",3.2360621000,101.4114929000,22.224,385,13716
311091,"2019-12-19 01:47:40",3.2368431000,101.4121041000,22.224,110,13644
311092,"2019-12-19 01:47:40",3.2372673000,101.4122143000,29.632,57,13612
311093,"2019-12-19 01:47:40",3.2373143000,101.4123541000,31.484,16,13630
311094,"2019-12-19 01:47:40",3.2372378000,101.4125751000,33.336,27,13607
311095,"2019-12-19 01:47:40",3.2370733000,101.4126573000,37.04,21,13523
311096,"2019-12-19 01:47:40",3.2367093000,101.4128105000,44.448,44,13697
311097,"2019-12-19 01:47:40",3.2337771000,101.4152815000,16.668,436,13434
311098,"2019-12-19 01:47:40",3.2336313000,101.4153835000,24.076,21,13557
311099,"2019-12-19 01:47:40",3.2336038000,101.4154493000,29.632,8,13645
311100,"2019-12-19 01:47:40",3.2336406000,101.4158476000,50.004,44,13682
311101,"2019-12-19 01:47:40",3.2347223000,101.4191481000,74.08,386,13755
311102,"2019-12-19 01:47:40",3.2364586000,101.4226561000,50.004,437,13717
311103,"2019-12-19 01:47:40",3.2379726000,101.4250601000,44.448,316,13589
311104,"2019-12-19 01:47:40",3.2386455000,101.4261473000,16.668,142,13640
311105,"2019-12-19 01:47:40",3.2386076000,101.4262371000,24.076,11,13540
311106,"2019-12-19 01:47:40",3.2369396000,101.4268148000,0,196,13693
311107,"2019-12-19 01:47:40",3.2369396000,101.4268148000,7.408,0,13707
311108,"2019-12-19 01:47:40",3.2331973000,101.4273985000,14.816,422,13564
311109,"2019-12-19 01:47:40",3.2330871000,101.4274286000,11.112,5,13738
311110,"2019-12-19 01:47:41",3.2330213000,101.4274583000,27.78,16,13711
311111,"2019-12-19 01:47:41",3.2306410000,101.4284355000,9.26,288,13650
311112,"2019-12-19 01:47:41",3.2305955000,101.4284680000,5.556,2,13531
311113,"2019-12-19 01:47:41",3.2305545000,101.4284404000,14.816,0,13588
311114,"2019-12-19 01:47:41",3.2305570000,101.4284051000,16.668,0,13502
311115,"2019-12-19 01:47:41",3.2316189000,101.4275933000,14.816,155,13258
311116,"2019-12-19 01:47:41",3.2315833000,101.4274771000,9.26,14,13435
311117,"2019-12-19 01:47:41",3.2315201000,101.4272636000,9.26,25,13008
311118,"2019-12-19 01:47:41",3.2315466000,101.4272301000,0,4,13678
311120,"2019-12-19 01:47:41",3.2315591000,101.4271938000,9.26,0,13601
